date,code,relative_quoted_spread
2015-06-27,BTCUSD,0.0004371237258836
2015-06-28,BTCUSD,4.016951535476071e-05
2015-06-29,BTCUSD,3.919032782705664e-05
2015-06-30,BTCUSD,3.790535034016605e-05
2015-07-01,BTCUSD,3.854678616166871e-05
2015-07-02,BTCUSD,0.0001571956299614
2015-07-03,BTCUSD,3.915656753525425e-05
2015-07-04,BTCUSD,0.00045901388517
2015-07-05,BTCUSD,0.0001846551564952
2015-07-06,BTCUSD,0.0005473753352675
2015-07-07,BTCUSD,0.0002632519132772
2015-07-08,BTCUSD,0.0010117475127872
2015-07-09,BTCUSD,3.699524611084111e-05
2015-07-10,BTCUSD,0.0004890146355094
2015-07-11,BTCUSD,0.0002718684156867
2015-07-12,BTCUSD,6.495615459577349e-05
2015-07-13,BTCUSD,0.0001364163426779
2015-07-14,BTCUSD,3.447027800276074e-05
2015-07-15,BTCUSD,0.0001031193606598
2015-07-16,BTCUSD,0.0001067748651968
2015-07-17,BTCUSD,0.0004295840194744
2015-07-18,BTCUSD,0.0009380863039401
2015-07-19,BTCUSD,3.636165300071235e-05
2015-07-20,BTCUSD,0.0001078341510757
2015-07-21,BTCUSD,0.0006087408017475
2015-07-22,BTCUSD,3.617356074441898e-05
2015-07-23,BTCUSD,0.0012670829939359
2015-07-24,BTCUSD,0.0002073613271125
2015-07-25,BTCUSD,0.0001041612416019
2015-07-26,BTCUSD,3.4169927047368915e-05
2015-07-27,BTCUSD,3.363096739493769e-05
2015-07-28,BTCUSD,0.0002370751697627
2015-07-29,BTCUSD,3.4331817011384105e-05
2015-07-30,BTCUSD,3.479652730654316e-05
2015-07-31,BTCUSD,0.0001404642342944
2015-08-01,BTCUSD,0.000250487556136
2015-08-02,BTCUSD,0.000673269431796
2015-08-03,BTCUSD,7.042749489394257e-05
2015-08-04,BTCUSD,3.497542976056137e-05
2015-08-05,BTCUSD,7.063643427273367e-05
2015-08-06,BTCUSD,0.0001074363887047
2015-08-07,BTCUSD,0.0003580251333644
2015-08-08,BTCUSD,0.0001874660217835
2015-08-09,BTCUSD,0.0013556768970062
2015-08-10,BTCUSD,7.552870090627571e-05
2015-08-11,BTCUSD,0.0010008711285748
2015-08-12,BTCUSD,0.0005187106335681
2015-08-13,BTCUSD,7.544892108035993e-05
2015-08-14,BTCUSD,0.0001121809853228
2015-08-15,BTCUSD,0.0009113693324217
2015-08-16,BTCUSD,0.0002299114840786
2015-08-17,BTCUSD,0.0003873866893934
2015-08-18,BTCUSD,0.0004745146110956
2015-08-19,BTCUSD,0.000401257272788
2015-08-20,BTCUSD,0.0018195281921082
2015-08-21,BTCUSD,0.0001291294522759
2015-08-22,BTCUSD,0.0017368649587494
2015-08-23,BTCUSD,0.0018030299698761
2015-08-24,BTCUSD,0.0009983123766965
2015-08-25,BTCUSD,4.500146254749186e-05
2015-08-26,BTCUSD,0.0001765536723164
2015-08-27,BTCUSD,0.0001318826244642
2015-08-28,BTCUSD,0.001025641025641
2015-08-29,BTCUSD,0.0001312135062435
2015-08-30,BTCUSD,0.0005265929436545
2015-08-31,BTCUSD,0.0001299911172736
2015-09-01,BTCUSD,0.0002638290387828
2015-09-02,BTCUSD,0.000479292390144
2015-09-03,BTCUSD,0.0002642240620045
2015-09-04,BTCUSD,0.0008642668856142
2015-09-05,BTCUSD,4.239353922458361e-05
2015-09-06,BTCUSD,0.0003717088280845
2015-09-07,BTCUSD,0.0010355611705983
2015-09-08,BTCUSD,0.0011872351749124
2015-09-09,BTCUSD,4.1869910189004565e-05
2015-09-10,BTCUSD,4.1744067124421966e-05
2015-09-11,BTCUSD,0.0003320190910977
2015-09-12,BTCUSD,4.223954043376166e-05
2015-09-13,BTCUSD,0.0001738676866905
2015-09-14,BTCUSD,0.000902740462117
2015-09-15,BTCUSD,0.0003473126682295
2015-09-16,BTCUSD,4.371298056966462e-05
2015-09-17,BTCUSD,0.0005133689839572
2015-09-18,BTCUSD,0.0012383900928792
2015-09-19,BTCUSD,0.0005599707092244
2015-09-20,BTCUSD,4.307838111439854e-05
2015-09-21,BTCUSD,0.0002191204505116
2015-09-22,BTCUSD,4.341314115778899e-05
2015-09-23,BTCUSD,0.0009972034945478
2015-09-24,BTCUSD,8.547373819398364e-05
2015-09-25,BTCUSD,0.0008070167986917
2015-09-26,BTCUSD,0.000637822897842
2015-09-27,BTCUSD,0.0004709408113025
2015-09-28,BTCUSD,8.333680570028014e-05
2015-09-29,BTCUSD,0.0004204330460373
2015-09-30,BTCUSD,0.0012225711936931
2015-10-01,BTCUSD,0.0008803370433251
2015-10-02,BTCUSD,0.0008836338389681
2015-10-03,BTCUSD,0.0002499687539057
2015-10-04,BTCUSD,0.0003340013360053
2015-10-05,BTCUSD,0.0010770505385252
2015-10-06,BTCUSD,4.055067821017144e-05
2015-10-07,BTCUSD,0.0018027615028475
2015-10-08,BTCUSD,0.0008619805028218
2015-10-09,BTCUSD,4.084383360218476e-05
2015-10-10,BTCUSD,0.0001219983326894
2015-10-11,BTCUSD,0.0001210482780882
2015-10-12,BTCUSD,0.0007305194805195
2015-10-13,BTCUSD,0.0001199016806218
2015-10-14,BTCUSD,0.0007076862590918
2015-10-15,BTCUSD,0.0008248070540641
2015-10-16,BTCUSD,0.0020274276533482
2015-10-17,BTCUSD,3.692148645922113e-05
2015-10-18,BTCUSD,0.0007180785729133
2015-10-19,BTCUSD,0.0013635330656768
2015-10-20,BTCUSD,3.7052818793156e-05
2015-10-21,BTCUSD,0.0001117672261238
2015-10-22,BTCUSD,0.0009447674418604
2015-10-23,BTCUSD,3.599647234567738e-05
2015-10-24,BTCUSD,0.0004983625231382
2015-10-25,BTCUSD,0.0001042408658942
2015-10-26,BTCUSD,0.0004531116571689
2015-10-27,BTCUSD,0.0020142339196992
2015-10-28,BTCUSD,0.0002311413429311
2015-10-29,BTCUSD,0.0004753077617758
2015-10-30,BTCUSD,0.0012946979038224
2015-10-31,BTCUSD,0.0010856723185489
2015-11-01,BTCUSD,0.0011879197697262
2015-11-02,BTCUSD,0.0018597527622798
2015-11-03,BTCUSD,0.0022405895239991
2015-11-04,BTCUSD,0.0050765953647368
2015-11-05,BTCUSD,0.0019486180195887
2015-11-06,BTCUSD,0.0017312788823928
2015-11-07,BTCUSD,2.5772863751732336e-05
2015-11-08,BTCUSD,0.0002937681101363
2015-11-09,BTCUSD,0.0014635931211123
2015-11-10,BTCUSD,0.0015502489342038
2015-11-11,BTCUSD,0.0011639185257032
2015-11-12,BTCUSD,0.0017979682958256
2015-11-13,BTCUSD,0.0030422700014626
2015-11-14,BTCUSD,0.0026960965854381
2015-11-15,BTCUSD,3.122414250695801e-05
2015-11-16,BTCUSD,0.0021495935451641
2015-11-17,BTCUSD,8.872720819831333e-05
2015-11-18,BTCUSD,0.0016058046865707
2015-11-19,BTCUSD,9.150665710939484e-05
2015-11-20,BTCUSD,6.20886626101509e-05
2015-11-21,BTCUSD,0.0003072857450143
2015-11-22,BTCUSD,0.0016692426584233
2015-11-23,BTCUSD,0.0011746522411128
2015-11-24,BTCUSD,3.1226092522883746e-05
2015-11-25,BTCUSD,0.0006393959230899
2015-11-26,BTCUSD,2.8335434878061017e-05
2015-11-27,BTCUSD,0.000609468930936
2015-11-28,BTCUSD,0.0002528480523677
2015-11-29,BTCUSD,2.659751313249792e-05
2015-11-30,BTCUSD,0.0004489930670187
2015-12-01,BTCUSD,0.0009080277911535
2015-12-02,BTCUSD,0.0012794837561192
2015-12-03,BTCUSD,0.0003051106025933
2015-12-04,BTCUSD,0.0004144505077018
2015-12-05,BTCUSD,0.0011982306976507
2015-12-06,BTCUSD,0.0011824643059311
2015-12-07,BTCUSD,0.0011330018253918
2015-12-09,BTCUSD,0.000502566679829
2015-12-10,BTCUSD,0.001272738188149
2015-12-11,BTCUSD,2.216827940909952e-05
2015-12-12,BTCUSD,0.0001613219178871
2015-12-13,BTCUSD,0.0011717269187028
2015-12-14,BTCUSD,0.0013309421491331
2015-12-15,BTCUSD,0.0009032452310802
2015-12-16,BTCUSD,8.810960835283594e-05
2015-12-18,BTCUSD,0.0003454678930777
2015-12-19,BTCUSD,0.0003473579089053
2015-12-20,BTCUSD,0.000564659115292
2015-12-21,BTCUSD,0.0009871328382364
2015-12-22,BTCUSD,0.0017225737548662
2015-12-23,BTCUSD,0.000792168845131
2015-12-24,BTCUSD,2.1934875355050845e-05
2015-12-25,BTCUSD,0.0005698130574853
2015-12-26,BTCUSD,0.0004335677810964
2015-12-27,BTCUSD,4.717982590653358e-05
2015-12-28,BTCUSD,0.0006653201853392
2015-12-29,BTCUSD,2.3332050070690852e-05
2015-12-30,BTCUSD,0.000611563249753
2015-12-31,BTCUSD,6.969045821483143e-05
2016-01-01,BTCUSD,0.000368740061303
2016-01-02,BTCUSD,0.00060000461542
2016-01-03,BTCUSD,0.0006777205220785
2016-01-04,BTCUSD,2.3016284020923884e-05
2016-01-05,BTCUSD,0.000601726492166
2016-01-06,BTCUSD,2.320212531465772e-05
2016-01-07,BTCUSD,8.748332349150419e-05
2016-01-08,BTCUSD,0.0012757346471933
2016-01-09,BTCUSD,0.0002438726984514
2016-01-10,BTCUSD,2.2354611197404418e-05
2016-01-11,BTCUSD,2.2274939579206133e-05
2016-01-12,BTCUSD,2.240218645337748e-05
2016-01-13,BTCUSD,0.000555915871398
2016-01-14,BTCUSD,0.0006514203289673
2016-01-15,BTCUSD,0.0023082806090523
2016-01-16,BTCUSD,5.149198012419519e-05
2016-01-17,BTCUSD,0.0003402562391216
2016-01-18,BTCUSD,0.000232525093333
2016-01-19,BTCUSD,0.0004223084435293
2016-01-20,BTCUSD,0.0004051525876142
2016-01-21,BTCUSD,2.4330604250534438e-05
2016-01-22,BTCUSD,0.0002624603028792
2016-01-23,BTCUSD,2.5936636796283036e-05
2016-01-24,BTCUSD,9.930979691151611e-05
2016-01-25,BTCUSD,0.0001534762367626
2016-01-26,BTCUSD,0.0004063904904625
2016-01-27,BTCUSD,0.0007598591727665
2016-01-28,BTCUSD,0.0002379787670056
2016-01-29,BTCUSD,0.0005824574408937
2016-01-30,BTCUSD,0.0007698331585724
2016-01-31,BTCUSD,0.0018037222267771
2016-02-01,BTCUSD,0.0013470553370332
2016-02-02,BTCUSD,0.000268132457434
2016-02-03,BTCUSD,0.0006777547341168
2016-02-04,BTCUSD,0.0002052123948286
